"Project ID","Compliance Program ID (ARB or Ecology)","Project Developer","Project Name","Project Type","Project Methodology/Protocol","Initial Crediting Period Start Date","Current Crediting Period Start Date","Current Crediting Period End Date","Voluntary Status","Compliance Program Status (ARB or Ecology)","Project Status Date","Project Site Location","Project Site State","Project Site Country","Sustainable Development Goal(s)","Current VVB","ACR Project Validation","Total Number of Credits Registered ","Documents","Project Website",
"ACR533","CAOD5533","A-Gas US Inc.","A-Gas 3-2020","Ozone Depleting Substances","ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks","03/11/2020","03/11/2020","03/10/2030","N/A","ARB Completed","01/05/2024","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","N/A","81042","View","www.agasamericas.com",
"ACR961","ECYOD961","A-Gas US Inc.","A-Gas 3-2023","Ozone Depleting Substances","ECY Compliance Offset Protocol: Ozone Depleting Substances Projects","09/26/2023","09/26/2023","09/25/2033","N/A","Ecology Inactive","02/21/2024","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","Dillon Consulting Limited","","","View","www.agasamericas.com",
"ACR1007","CAOD1007","A-Gas US Inc.","A-Gas 3-2023B","Ozone Depleting Substances","ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks","09/26/2023","09/26/2023","09/25/2033","N/A","Listed - Active ARB Project","02/28/2024","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","Dillon Consulting Limited","N/A","79565","View","www.agasamericas.com",
"ACR849","N/A","A-Gas US Inc.","A-Gas ODS-VER1","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam","02/27/2023","02/27/2023","04/17/2023","Completed","Not ARB or Ecology Eligible","07/06/2023","1100 Haskins Rd Bowling Green, OH 43402","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","First Environment, Inc.","First Environment, Inc.","15943","View","",
"ACR933","N/A","A-Gas US Inc.","A-Gas ODS-VER2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam","07/05/2023","07/05/2023","10/17/2023","Completed","Not ARB or Ecology Eligible","02/01/2024","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","First Environment, Inc.","First Environment, Inc.","21498","View","www.agasamericas.com",
"ACR1045","N/A","A-Gas US Inc.","A-Gas ODS-VER3","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam","12/04/2023","12/04/2023","07/31/2024","Listed","Not ARB or Ecology Eligible","06/17/2024","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","","","View","www.agasamericas.com",
"ACR823","N/A","A-Gas US Inc.","A-Gas South Korea 1","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","11/01/2022","11/01/2022","10/31/2032","Completed","Not ARB or Ecology Eligible","07/13/2023","Bowling Green","OHIO","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","88945","View","https://www.agas.com/",
"ACR882","N/A","A-Gas US Inc.","A-Gas South Korea 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","05/11/2023","05/11/2023","05/10/2033","Completed","Not ARB or Ecology Eligible","02/02/2024","Bowling Green","OHIO","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","74831","View","https://www.agas.com/",
"ACR979","N/A","A-Gas US Inc.","A-Gas South Korea 3","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","02/02/2024","02/02/2024","02/01/2034","Completed","Not ARB or Ecology Eligible","08/23/2024","Bowling Green","OHIO","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","74143","View","www.agas.com",
"ACR1039","N/A","A-Gas US Inc.","A-Gas South Korea 4","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","06/01/2024","06/01/2024","05/31/2034","Listed","Not ARB or Ecology Eligible","05/28/2024","Bowling Green","OHIO","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","TÜV SÜD America, Inc. – Ruby Canyon","","","View","www.agas.com",
"ACR573","N/A","A-Gas US Inc.","A-Gas V1","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","12/11/2018","12/11/2018","12/10/2028","Completed","Not ARB or Ecology Eligible","07/26/2022","Wood County, Bowling Green, Ohio","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","","83702","View","www.agasamericas.com",
"ACR775","N/A","A-Gas US Inc.","A-Gas V10","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/07/2021","01/07/2021","01/06/2061","Completed","Not ARB or Ecology Eligible","02/23/2023","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","343908","View","",
"ACR827","N/A","A-Gas US Inc.","A-Gas V11","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/10/2022","01/10/2022","01/09/2062","Completed","Not ARB or Ecology Eligible","09/05/2023","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","937572","View","https://www.agas.com/",
"ACR869","N/A","A-Gas US Inc.","A-Gas V12","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/07/2022","01/07/2022","01/06/2037","Completed","Not ARB or Ecology Eligible","11/21/2023","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","SES, Inc.","1855393","View","",
"ACR935","N/A","A-Gas US Inc.","A-Gas V13","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/03/2023","01/03/2023","01/02/2063","Completed","Not ARB or Ecology Eligible","04/11/2024","Bowling Green","OHIO; TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","SES, Inc.","867204","View","",
"ACR905","N/A","A-Gas US Inc.","A-Gas V14","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/06/2023","01/06/2023","01/05/2038","Completed","Not ARB or Ecology Eligible","12/27/2023","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","2220554","View","",
"ACR1021","N/A","A-Gas US Inc.","A-Gas V15","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","10/04/2023","10/04/2023","10/03/2063","Completed","Not ARB or Ecology Eligible","09/11/2024","Bowling Green","OHIO; TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","SES, Inc.","454639","View","",
"ACR973","N/A","A-Gas US Inc.","A-Gas V16","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","07/03/2023","07/03/2023","07/02/2038","Completed","Not ARB or Ecology Eligible","05/28/2024","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","1538940","View","",
"ACR1066","N/A","A-Gas US Inc.","A-Gas V18","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/08/2024","01/08/2024","01/07/2039","Listed","Not ARB or Ecology Eligible","08/22/2024","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","","","View","",
"ACR583","N/A","A-Gas US Inc.","A-Gas V2","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","12/05/2019","12/05/2019","12/04/2029","Completed","Not ARB or Ecology Eligible","07/28/2022","Wood County, Bowling Green, Ohio","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","","23045","View","www.agasamericas.com",
"ACR584","N/A","A-Gas US Inc.","A-Gas V3","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","08/06/2019","08/06/2019","08/05/2029","Completed","Not ARB or Ecology Eligible","07/28/2022","Wood County, Bowling Green, Ohio","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","16515","View","www.agasamericas.com",
"ACR585","N/A","A-Gas US Inc.","A-Gas V4","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","08/06/2020","08/06/2020","08/05/2030","Completed","Not ARB or Ecology Eligible","07/28/2022","Wood County, Bowling Green, Ohio","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","94592","View","www.agasamericas.com",
"ACR646","N/A","A-Gas US Inc.","A-Gas V5","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/02/2019","01/02/2019","01/01/2034","Completed","Not ARB or Ecology Eligible","07/26/2022","Wood County, Bowling Green, Ohio","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","754484","View","www.agasamericas.com",
"ACR676","N/A","A-Gas US Inc.","A-Gas V6","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/10/2020","01/10/2020","01/09/2035","Completed","Not ARB or Ecology Eligible","07/26/2022","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","1908868","View","",
"ACR678","N/A","A-Gas US Inc.","A-Gas V7","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/20/2021","01/20/2021","01/19/2031","Completed","Not ARB or Ecology Eligible","07/28/2022","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","186441","View","",
"ACR773","N/A","A-Gas US Inc.","A-Gas V8","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","01/06/2021","01/06/2021","01/05/2036","Completed","Not ARB or Ecology Eligible","11/02/2022","Rhome","TEXAS","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","1368452","View","",
"ACR774","N/A","A-Gas US Inc.","A-Gas V9","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","08/05/2020","08/05/2020","08/04/2060","Completed","Not ARB or Ecology Eligible","08/28/2023","Bowling Green","OHIO","US","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","154340","View","",
"ACR737","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2019001","Industrial Process Emissions","Advanced Refrigeration Systems","10/23/2019","10/23/2019","10/22/2029","Completed","Not ARB or Ecology Eligible","07/18/2022","US(49)","NEW JERSEY; PENNSYLVANIA","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","44458","View","",
"ACR747","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2020001","Industrial Process Emissions","Advanced Refrigeration Systems","10/04/2020","10/04/2020","10/03/2030","Completed","Not ARB or Ecology Eligible","09/30/2022","777 White Plains Road, Eastchester, NY, USA","NEW YORK","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","32742","View","",
"ACR791","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2020002","Industrial Process Emissions","Advanced Refrigeration Systems","01/16/2020","01/16/2020","01/15/2030","Completed","Not ARB or Ecology Eligible","03/27/2023","Sacramento, CA","CALIFORNIA","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","13360","View","",
"ACR813","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2020003","Industrial Process Emissions","Advanced Refrigeration Systems","06/03/2020","06/03/2020","06/02/2030","Completed","Not ARB or Ecology Eligible","07/31/2023","Tampa","FLORIDA; ALABAMA; CALIFORNIA; GEORGIA; MINNESOTA; NORTH CAROLINA; SOUTH CAROLINA; TENNESSEE; VIRGINIA","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","257840","View","",
"ACR742","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2021001","Industrial Process Emissions","Advanced Refrigeration Systems","10/03/2021","10/03/2021","10/02/2031","Completed","Not ARB or Ecology Eligible","10/28/2022","18 Winslow Gate Road, Poughkeepsie","NEW YORK; PENNSYLVANIA; WASHINGTON","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","39881","View","",
"ACR830","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2021002","Industrial Process Emissions","Advanced Refrigeration Systems","03/01/2021","03/01/2021","02/28/2031","Completed","Not ARB or Ecology Eligible","03/28/2023","1 Stew Leonard Dr #1, Yonkers, NY 10710","NEW YORK; MINNESOTA; NEW JERSEY","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","47025","View","",
"ACR868","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2021003","Industrial Process Emissions","Advanced Refrigeration Systems","05/20/2021","05/20/2021","05/19/2031","Completed","Not ARB or Ecology Eligible","07/06/2023","4725 Cedar Ave Minneapolis	MN 55407 USA","MINNESOTA; NEW HAMPSHIRE","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","20230","View","",
"ACR904","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2021004","Industrial Process Emissions","Advanced Refrigeration Systems","05/05/2021","05/05/2021","05/04/2031","Completed","Not ARB or Ecology Eligible","10/10/2023","Seneca, South Carolina","SOUTH CAROLINA; ALABAMA; FLORIDA; GEORGIA; TENNESSEE","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","164129","View","",
"ACR919","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2021005","Industrial Process Emissions","Advanced Refrigeration Systems","12/01/2021","12/01/2021","11/30/2031","Completed","Not ARB or Ecology Eligible","02/02/2024","Wendell, NC","NORTH CAROLINA; ALABAMA; FLORIDA; GEORGIA; MINNESOTA; OREGON; TENNESSEE; WISCONSIN","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","166106","View","therm.cool",
"ACR815","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2022001","Industrial Process Emissions","Advanced Refrigeration Systems","08/27/2022","08/27/2022","08/26/2032","Completed","Not ARB or Ecology Eligible","02/08/2023","543 12th St Dr NW, Hickory, NC 28601, USA","NORTH CAROLINA","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","19002","View","",
"ACR876","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2022002","Industrial Process Emissions","Advanced Refrigeration Systems","07/11/2022","07/11/2022","07/10/2032","Completed","Not ARB or Ecology Eligible","09/01/2023","Various","FLORIDA; CALIFORNIA; MINNESOTA; NEW JERSEY; NEW YORK","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc. – Ruby Canyon","TÜV SÜD America, Inc. – Ruby Canyon","64135","View","",
"ACR1005","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2022003","Industrial Process Emissions","Advanced Refrigeration Systems","06/14/2022","06/14/2022","06/13/2032","Completed","Not ARB or Ecology Eligible","10/02/2024","311 E 14th St, Albert Lea, MN 56007","MINNESOTA","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","30694","View","",
"ACR1008","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2022004","Industrial Process Emissions","Advanced Refrigeration Systems","04/11/2022","04/11/2022","04/10/2032","Registered","Not ARB or Ecology Eligible","06/28/2024","1181 Gannon plaza, Festus, MO","MISSOURI","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.","26766","View","",
"ACR1032","N/A","Therm Solutions Inc.","Advanced Refrigeration - ARS2022005","Industrial Process Emissions","Advanced Refrigeration Systems","11/29/2022","11/29/2022","11/28/2032","Listed","Not ARB or Ecology Eligible","06/05/2024","O'Fallon, MO","MISSOURI; CALIFORNIA; IOWA; ILLINOIS; INDIANA; NEBRASKA","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","","","View","",
