Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR466,Dalton-Whitfield Landfill Project,Landfill Gas Capture/Combustion,US,[],6/20/2024,0,913,
CAR,CAR1659,Ejido Basaseachi,Forestry - MX,MX,[],8/27/2024,0,8246,
CAR,CAR1658,Ejido Conoachi y Anexos,Forestry - MX,MX,[],8/27/2024,0,22144,
CAR,CAR1565,Ejido Forestal Chavarria Nuevo,Forestry - MX,MX,[],3/13/2024,0,242,
CAR,CAR1392,Ejido forestal Los Bancos,Forestry - MX,MX,[],4/29/2024,0,39801,
CAR,CAR1608,Ejido Gavilanes,Forestry - MX,MX,[],8/29/2024,0,570,
CAR,CAR1661,Ejido Heredia y Anexos,Forestry - MX,MX,[],8/27/2024,0,22905,
CAR,CAR1566,Ejido KM 120,Forestry - MX,MX,[],12/14/2023,0,8,
CAR,CAR1607,Ejido Piedras Negras,Forestry - MX,MX,[],7/2/2024,0,29,
CAR,CAR1606,Ejido Pozo Pirata,Forestry - MX,MX,[],5/21/2024,0,30,
CAR,CAR1660,Ejido Tutuaca,Forestry - MX,MX,[],4/11/2024,0,60000,
CAR,CAR475,Gaston County Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],3/15/2024,0,1300,
CAR,CAR465,GTR Solid Waste Landfill,Landfill Gas Capture/Combustion,US,[],12/11/2023,0,21600,
CAR,CAR1238,Heartland Ranch Phase 1,Avoided Grassland Conversion,US,[],3/17/2023,0,2955,
CAR,CAR1299,Heartland Ranch Phase 2,Avoided Grassland Conversion,US,[],4/13/2023,0,781,
CAR,CAR829,Hilltop Sand and Gravel Landfill GHG Project,Landfill Gas Capture/Combustion,US,[],8/9/2024,0,505,
CAR,CAR1459,Indigo U.S. Project No.1,Soil Enrichment,US,[],3/25/2024,0,200,
CAR,CAR880,Johnston County Landfill Project,Landfill Gas Capture/Combustion,US,[],5/23/2024,0,913,
CAR,CAR1568,Laguna Om,Forestry - MX,MX,[],3/25/2024,0,2397,
CAR,CAR509,Larimer County Landfill Gas Project,Landfill Gas Capture/Combustion,US,[],8/9/2024,0,1672,
CAR,CAR1050,Lawton GCCS,Landfill Gas Capture/Combustion,US,[],12/11/2023,0,55000,
CAR,CAR1428,Manglares San Crisanto,Forestry - MX,MX,[],2/28/2024,0,665,
CAR,CAR521,Maple Hill Landfill,Landfill Gas Capture/Combustion,US,[],12/13/2023,0,27754,
CAR,CAR1261,May Ranch Avoided Grassland Conversion,Avoided Grassland Conversion,US,[],2/7/2024,0,960,
CAR,CAR406,Moccasin Mike Landfill Gas Project,Landfill Gas Capture/Combustion,US,[],12/14/2023,0,42592,
CAR,CAR592,Morehead Landfill,Landfill Gas Capture/Combustion,US,[],3/18/2024,0,7199,
CAR,CAR1567,NCPE Centauro del Norte,Forestry - MX,MX,[],1/17/2024,0,1500,
CAR,CAR560,New River Landfill Gas Methane Destruction Project,Landfill Gas Capture/Combustion,US,[],9/3/2024,0,19728,
CAR,CAR1621,Proyecto Forestal de Captura de Carbono del Ejido 20 de Noviembre,Forestry - MX,MX,[],7/26/2024,0,3722,
CAR,CAR1622,Proyecto Forestal de Captura de Carbono del Ejido Álvaro Obregón,Forestry - MX,MX,[],7/26/2024,0,5300,
CAR,CAR1623,Proyecto Forestal de Captura de Carbono del Ejido Xmejia,Forestry - MX,MX,[],7/26/2024,0,5300,
CAR,CAR1593,Proyecto Forestal de Carbono Ejido Madera,Forestry - MX,MX,[],2/1/2023,0,8575,
CAR,CAR1237,Raven's Nest Nature Preserve,Avoided Grassland Conversion,US,[],1/18/2023,0,851,
CAR,CAR811,Rentech Energy Midwest Corporation – Nitric Acid Plant 1,Nitric Acid N2O- Tertiary Catalyst,US,[],3/28/2023,0,60789,
CAR,CAR1027,"Rentech Nitrogen, LLC - Nitric Acid Plant 2",Nitric Acid N2O- Secondary Catalyst,US,[],8/25/2023,0,84667,
CAR,CAR516,Resource Recovery Landfill,Landfill Gas Capture/Combustion,US,[],4/24/2024,0,1656,
CAR,CAR1372,Rochelle Municipal Landfill,Landfill Gas Capture/Combustion,US,[],2/20/2024,0,48796,
CAR,CAR514,Stillwater Sanitary Landfill,Landfill Gas Capture/Combustion,US,[],7/25/2024,0,40897,
CAR,CAR436,Volunteer Regional Landfill,Landfill Gas Capture/Combustion,US,[],12/26/2023,0,49500,
CAR,CAR1008,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,US,[],12/29/2023,0,287,
CAR,CAR1728,"XICO2e Carbono Forestal  Ejido las Pintas, San Dimas, Durango, México",Forestry - MX,MX,[],5/7/2024,0,82,
CAR,CAR1663,"XICO2e Carbono Forestal Ejido Pueblo Nuevo, Durango, México",Forestry - MX,MX,[],12/30/2023,0,5000,
CAR,CAR1817,"XICO2e Carbono Forestal Ejido San Jose de Miravalles, Municipio de San Dimas, Estado de Durango, Mexico",Forestry - MX,MX,[],5/7/2024,0,54,
CAR,CAR1710,"XICO2e Carbono Forestal Ejido Vencedores y Anexos, San Dimas, Durango, México",Forestry - MX,MX,[],12/30/2023,0,6317,
CAR,CAR1324,AR-Joy Farm Dairy Digester,Livestock - ARB Compliance,US,[],7/28/2022,0,30,
CAR,CAR881,Athens-Clarke County Landfill Project,Landfill Gas Capture/Combustion,US,[],12/23/2022,0,35242,
CAR,CAR403,Black Warrior Solid Waste Facility,Landfill Gas Capture/Combustion,US,[],5/9/2023,0,28499,
CAR,CAR683,Blue Source - Francis Beidler Improved Forest Management Project,Improved Forest Management,US,[],11/14/2022,0,14,
CAR,CAR1508,Bonos Comunitarios CO2-El Naranjal,Forestry - MX,MX,[],10/2/2024,0,3598,
CAR,CAR531,Buncombe County Landfill,Landfill Gas Capture/Combustion,US,[],12/1/2022,0,600,
CAR,CAR1486,"CAPTURA DE CARBONO EN EL BOSQUE DE LA SOCIEDAD DE SOLIDARIDAD SOCIAL PIEDRA CANTEADA, NANACAMILPA  DE MARIANO  ARISTA, TLAXCALA,MEXICO",Forestry - MX,MX,[],5/9/2024,0,1603,
